id_evenement,date_heure,ville,zone,id_utilisateur,id_appareil,type_vehicule,energie,station_depart,station_arrivee,distance_km,duree_min,temperature,pluie,pm10,volume_trafic,montant_paiement,moyen_paiement,nom_utilisateur,age,abonnement,genre,risque_accident
89,2025-10-02 05:20,Paris,Est,83,APP-9605,Bus,Electrique,4,23,10.96,11,1.5,1,20,222,3.71,Carte,Emma,29,Standard,homme,1
90,2025-10-02 05:40,Paris,Est,206,APP-1644,Bus,Electrique,27,19,5.56,8,1.7,1,16,130,2.68,Carte,Alice,48,Premium,femme,1
91,2025-10-02 06:00,Paris,Sud,17,APP-1332,Voiture,Diesel,47,1,10.13,22,1.5,1,18,163,2.19,Carte,Nina,68,Gratuit,homme,1
92,2025-10-02 06:20,Paris,Nord,178,APP-8014,Velo,Humaine,12,1,11.51,22,2.4,0,19,144,3.09,Mobile,Hugo,24,Premium,femme,4
93,2025-10-02 06:40,Paris,Centre,93,APP-8011,Voiture,Diesel,11,18,0.43,23,1.8,1,22,205,5.26,Carte,Leo,25,Standard,homme,3
94,2025-10-02 07:00,Paris,Ouest,131,APP-9033,Trottinette,Electrique,16,14,4.15,10,2.7,0,25,294,3.98,Carte,Hugo,29,Gratuit,femme,4
95,2025-10-02 07:20,Paris,Centre,175,APP-6614,Velo,Electrique,31,49,7.76,14,1.5,1,23,222,1.44,Carte,Leo,66,Gratuit,homme,1
96,2025-10-02 07:40,Paris,Sud,187,APP-8263,Bus,Electrique,12,17,8.99,6,1.8,1,27,284,1.71,Mobile,Hugo,27,Premium,femme,3
97,2025-10-02 08:00,Paris,Est,114,APP-5616,Bus,Electrique,43,40,9.94,18,1.2,0,24,286,2.3,Mobile,Hugo,18,Premium,homme,3
98,2025-10-02 08:20,Paris,Est,115,APP-7904,Velo,Humaine,14,13,2.98,21,1.1,1,22,266,2.34,Mobile,Nina,67,Standard,femme,4
99,2025-10-02 08:40,Paris,Est,148,APP-6807,Bus,Diesel,5,50,4.81,24,2.4,1,23,229,1.75,Mobile,Lucas,22,Gratuit,homme,2
100,2025-10-02 09:00,Paris,Est,104,APP-7939,Bus,Diesel,37,53,11.32,11,2.9,1,28,300,5.87,Carte,Emma,55,Gratuit,femme,4
101,2025-10-02 09:20,Paris,Ouest,201,APP-5977,Bus,Humaine,13,42,2.33,14,1.0,0,28,296,1.72,Carte,Leo,23,Premium,homme,1
102,2025-10-02 09:40,Paris,Ouest,126,APP-7338,Velo,Humaine,25,44,10.05,23,2.4,1,24,254,3.17,Mobile,Marc,43,Gratuit,femme,1
103,2025-10-02 10:00,Paris,Ouest,57,APP-8572,Voiture,Diesel,43,59,4.61,9,2.4,1,23,172,4.77,Carte,Alice,31,Standard,homme,1
104,2025-10-02 10:20,Paris,Nord,218,APP-7670,Voiture,Diesel,49,29,2.48,16,1.3,1,23,175,3.56,Carte,Alice,33,Gratuit,femme,4
105,2025-10-02 10:40,Paris,Nord,23,APP-8352,Voiture,Diesel,23,36,6.84,22,1.2,0,18,160,3.21,Mobile,Marc,67,Gratuit,homme,1
106,2025-10-02 11:00,Paris,Ouest,187,APP-5454,Voiture,Humaine,55,50,8.78,3,2.7,1,20,136,3.12,Carte,Hugo,27,Premium,femme,3
107,2025-10-02 11:20,Paris,Nord,18,APP-7633,Bus,Humaine,27,57,0.53,6,1.7,1,16,109,4.36,Carte,Nina,49,Standard,homme,2
108,2025-10-02 11:40,Paris,Centre,160,APP-6727,Trottinette,Electrique,50,58,8.15,15,1.4,0,19,177,3.59,Mobile,Marc,28,Premium,femme,1
109,2025-10-02 12:00,Paris,Ouest,90,APP-3149,Bus,Electrique,4,48,10.48,18,2.2,1,21,150,2.87,Carte,Leo,29,Premium,homme,3
110,2025-10-02 12:20,Paris,Sud,3,APP-5996,Bus,Diesel,34,51,8.68,7,2.5,0,18,125,1.48,Mobile,Alice,23,Gratuit,femme,3
111,2025-10-02 12:40,Paris,Nord,140,APP-6347,Voiture,Electrique,3,28,1.12,14,1.3,1,19,187,4.22,Carte,Nina,40,Gratuit,homme,4
112,2025-10-02 13:00,Paris,Sud,3,APP-2741,Voiture,Diesel,6,56,4.9,8,2.3,0,20,211,5.64,Mobile,Alice,23,Gratuit,femme,1
113,2025-10-02 13:20,Paris,Nord,242,APP-8328,Trottinette,Diesel,34,34,6.4,24,2.8,0,17,139,5.78,Mobile,Alice,20,Premium,homme,1
114,2025-10-02 13:40,Paris,Nord,128,APP-7723,Velo,Diesel,57,17,0.4,18,1.3,1,15,129,5.44,Mobile,Leo,19,Standard,femme,4
115,2025-10-02 14:00,Paris,Est,151,APP-3343,Voiture,Electrique,32,43,9.93,9,3.0,0,20,154,1.83,Carte,Alice,27,Standard,homme,4
116,2025-10-02 14:20,Paris,Sud,31,APP-7014,Bus,Humaine,19,8,8.68,15,2.5,0,21,222,1.45,Mobile,Alice,22,Premium,femme,3
117,2025-10-02 14:40,Paris,Sud,193,APP-6056,Trottinette,Diesel,14,14,11.54,17,1.4,0,23,185,2.32,Carte,Emma,18,Gratuit,homme,4
118,2025-10-02 15:00,Paris,Nord,220,APP-1698,Velo,Electrique,27,46,6.34,9,2.3,1,17,166,2.01,Carte,Hugo,29,Premium,femme,2
119,2025-10-02 15:20,Paris,Nord,54,APP-9573,Velo,Electrique,36,28,9.03,11,2.5,0,15,133,1.81,Carte,Emma,25,Gratuit,homme,4
120,2025-10-02 15:40,Paris,Centre,184,APP-1145,Velo,Electrique,46,29,8.43,7,1.2,1,20,136,3.32,Carte,Alice,21,Standard,femme,1
121,2025-10-02 16:00,Paris,Est,236,APP-1634,Bus,Humaine,43,48,5.4,16,2.3,1,29,301,1.71,Carte,Marc,37,Gratuit,homme,3
122,2025-10-02 16:20,Paris,Centre,74,APP-2259,Voiture,Diesel,38,39,10.8,13,1.1,0,26,297,4.79,Carte,Alice,26,Gratuit,femme,4
123,2025-10-02 16:40,Paris,Ouest,218,APP-3144,Velo,Electrique,16,35,4.75,13,1.6,0,26,237,5.51,Carte,Alice,33,Gratuit,homme,2
124,2025-10-02 17:00,Paris,Nord,49,APP-4982,Voiture,Humaine,27,47,10.85,9,1.1,0,27,280,3.5,Carte,Alice,21,Premium,femme,3
125,2025-10-02 17:20,Paris,Centre,142,APP-5486,Bus,Diesel,41,38,6.41,11,3.0,1,27,282,4.76,Carte,Nina,29,Premium,homme,2
126,2025-10-02 17:40,Paris,Sud,33,APP-8947,Velo,Electrique,29,37,3.78,19,2.3,1,23,281,1.59,Mobile,Leo,38,Gratuit,femme,4
127,2025-10-02 18:00,Paris,Centre,73,APP-2690,Trottinette,Diesel,54,20,5.46,21,2.9,1,25,279,5.46,Carte,Emma,53,Gratuit,homme,3
128,2025-10-02 18:20,Paris,Centre,232,APP-2829,Trottinette,Humaine,47,60,3.16,16,2.5,1,27,293,2.42,Carte,Leo,26,Standard,femme,2
129,2025-10-02 18:40,Paris,Sud,41,APP-8171,Bus,Electrique,59,30,1.38,17,1.1,1,27,278,3.7,Mobile,Alice,18,Standard,homme,4
130,2025-10-02 19:00,Paris,Sud,65,APP-4294,Velo,Humaine,60,46,9.52,10,2.7,0,24,262,4.09,Carte,Alice,38,Gratuit,femme,4
131,2025-10-02 19:20,Paris,Est,171,APP-1633,Velo,Humaine,23,49,0.84,16,2.6,1,27,249,5.96,Carte,Lucas,35,Standard,homme,2
132,2025-10-02 19:40,Paris,Ouest,60,APP-4799,Voiture,Electrique,22,7,3.22,14,1.3,1,26,280,5.08,Mobile,Nina,26,Standard,femme,1
133,2025-10-02 20:00,Paris,Nord,188,APP-4459,Bus,Diesel,36,48,4.23,10,2.1,0,18,149,2.64,Carte,Leo,23,Standard,homme,3
134,2025-10-02 20:20,Paris,Ouest,126,APP-3879,Bus,Diesel,54,25,6.24,18,1.1,1,18,174,1.32,Carte,Marc,43,Gratuit,femme,1
135,2025-10-02 20:40,Paris,Nord,63,APP-3443,Voiture,Humaine,33,32,9.28,3,1.9,1,22,228,2.68,Mobile,Leo,49,Gratuit,homme,4
136,2025-10-02 21:00,Paris,Nord,233,APP-5340,Trottinette,Diesel,38,47,1.2,8,1.7,1,20,196,2.61,Carte,Lucas,33,Gratuit,femme,4
137,2025-10-02 21:20,Paris,Est,32,APP-2404,Voiture,Diesel,13,9,0.54,15,2.9,1,19,200,1.63,Mobile,Alice,27,Premium,homme,1
138,2025-10-02 21:40,Paris,Nord,55,APP-6091,Velo,Diesel,38,22,11.16,13,2.5,0,23,172,1.35,Carte,Alice,23,Gratuit,femme,4
139,2025-10-02 22:00,Paris,Centre,2,APP-2257,Trottinette,Humaine,10,35,1.22,21,2.4,1,20,181,1.94,Mobile,Lucas,20,Premium,homme,3
140,2025-10-02 22:20,Paris,Est,17,APP-9114,Trottinette,Diesel,39,55,10.14,17,2.5,1,23,200,5.68,Mobile,Nina,68,Gratuit,femme,1
141,2025-10-02 22:40,Paris,Centre,58,APP-9848,Velo,Diesel,50,13,11.43,11,1.6,0,16,154,1.71,Mobile,Sofia,56,Gratuit,homme,3
142,2025-10-02 23:00,Paris,Ouest,211,APP-4271,Velo,Electrique,21,18,9.81,17,1.5,0,19,111,3.07,Mobile,Emma,54,Standard,femme,4
143,2025-10-02 23:20,Paris,Centre,203,APP-4654,Velo,Electrique,50,58,9.51,3,1.2,0,18,165,1.81,Mobile,Alice,25,Gratuit,homme,2
144,2025-10-02 23:40,Paris,Centre,82,APP-8165,Velo,Electrique,37,11,2.28,11,1.4,1,23,175,2.52,Mobile,Nina,31,Gratuit,femme,4
145,2025-10-03 00:00,Paris,Sud,241,APP-2201,Voiture,Diesel,52,44,4.04,14,2.8,0,22,190,2.77,Mobile,Nina,31,Premium,homme,4
146,2025-10-03 00:20,Paris,Sud,163,APP-4238,Voiture,Humaine,4,12,9.06,3,2.2,1,23,198,3.23,Carte,Lucas,35,Gratuit,femme,3
147,2025-10-03 00:40,Paris,Est,151,APP-8135,Bus,Humaine,3,20,8.17,4,1.6,0,24,224,1.78,Carte,Alice,27,Standard,homme,4
148,2025-10-03 01:00,Paris,Centre,191,APP-5840,Bus,Humaine,31,47,5.94,3,1.9,1,19,158,4.46,Carte,Lucas,20,Standard,femme,4
149,2025-10-03 01:20,Paris,Est,210,APP-2264,Voiture,Diesel,24,27,6.93,20,2.5,1,19,173,2.45,Carte,Alice,30,Premium,homme,1
150,2025-10-03 01:40,Paris,Est,173,APP-2656,Bus,Diesel,58,38,2.25,18,2.4,1,20,209,5.91,Carte,Sofia,18,Gratuit,femme,2
151,2025-10-03 02:00,Paris,Est,90,APP-4691,Voiture,Humaine,51,39,4.33,13,2.6,1,17,126,2.93,Carte,Leo,29,Premium,homme,1
152,2025-10-03 02:20,Paris,Est,171,APP-2454,Voiture,Diesel,44,60,0.7,3,2.2,1,22,156,3.45,Mobile,Lucas,35,Standard,femme,3
153,2025-10-03 02:40,Paris,Est,214,APP-5116,Velo,Electrique,23,53,11.6,15,2.9,0,15,130,2.32,Carte,Leo,21,Premium,homme,2
154,2025-10-03 03:00,Paris,Sud,136,APP-4758,Bus,Electrique,3,48,4.3,15,1.4,1,20,192,4.87,Mobile,Nina,52,Gratuit,femme,2
155,2025-10-03 03:20,Paris,Centre,154,APP-2028,Velo,Humaine,48,48,0.99,3,2.5,1,20,131,3.74,Mobile,Hugo,53,Premium,homme,3
156,2025-10-03 03:40,Paris,Ouest,219,APP-2696,Bus,Diesel,34,44,2.31,16,2.4,1,23,181,5.57,Carte,Lucas,20,Gratuit,femme,3
157,2025-10-03 04:00,Paris,Sud,200,APP-7294,Bus,Humaine,32,54,2.19,11,1.3,0,20,169,5.46,Mobile,Hugo,21,Gratuit,homme,1
158,2025-10-03 04:20,Paris,Nord,46,APP-3759,Voiture,Humaine,38,21,9.42,9,1.9,1,21,163,4.78,Carte,Leo,24,Gratuit,femme,4
159,2025-10-03 04:40,Paris,Est,86,APP-1055,Bus,Diesel,9,3,6.75,10,2.1,0,22,175,2.12,Carte,Nina,29,Gratuit,homme,4
160,2025-10-03 05:00,Paris,Sud,227,APP-8803,Velo,Humaine,2,27,11.48,6,2.5,0,17,158,1.3,Mobile,Hugo,43,Premium,femme,1
161,2025-10-03 05:20,Paris,Nord,208,APP-8281,Trottinette,Humaine,55,24,9.29,12,3.0,1,20,143,2.35,Mobile,Emma,22,Standard,homme,2
162,2025-10-03 05:40,Paris,Centre,138,APP-2932,Voiture,Humaine,34,31,10.75,17,2.1,1,18,143,1.77,Carte,Leo,32,Standard,femme,4
163,2025-10-03 06:00,Paris,Ouest,245,APP-3204,Voiture,Humaine,37,40,4.49,8,1.4,1,22,197,3.38,Mobile,Alice,18,Standard,homme,4
164,2025-10-03 06:20,Paris,Est,17,APP-1249,Voiture,Electrique,53,3,5.95,16,2.2,1,18,119,2.18,Carte,Nina,68,Gratuit,femme,3
